Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2012-09-17,94.0,94.0,90.1,91.6,91.2,19430.0,17.77
2012-09-14,95.15,96.4,93.55,94.6,94.8,30775.0,29.14
2012-09-13,92.35,96.0,92.25,95.45,95.0,28509.0,27.0
2012-09-12,95.0,95.0,91.2,92.35,92.0,16732.0,15.41
2012-09-11,90.9,94.55,90.5,92.7,92.95,10159.0,9.45
2012-09-10,94.5,94.9,90.2,92.0,91.25,25880.0,24.0
2012-09-08,93.8,94.0,91.45,91.5,92.45,3241.0,3.03
2012-09-07,96.0,97.7,93.05,93.05,94.1,26784.0,25.5
2012-09-06,91.0,94.6,91.0,94.0,93.45,13147.0,12.21
2012-09-05,85.95,94.0,85.95,91.4,90.9,62375.0,57.28
2012-09-04,86.9,88.0,85.6,86.05,85.95,10000.0,8.65
2012-09-03,86.05,88.0,86.05,86.5,86.85,13141.0,11.45
2012-08-31,87.0,89.45,85.6,85.6,86.0,17324.0,14.95
2012-08-30,86.45,89.7,84.3,88.7,87.9,25299.0,22.08
2012-08-29,88.6,91.0,86.15,86.15,86.45,12057.0,10.48
2012-08-28,94.8,94.8,88.0,88.15,88.6,12130.0,10.91
2012-08-27,92.5,93.9,91.9,91.9,92.25,6036.0,5.59
2012-08-24,93.35,95.0,91.6,91.9,91.9,6261.0,5.82
2012-08-23,92.05,94.8,90.4,93.85,93.35,10336.0,9.63
2012-08-22,92.9,95.0,92.0,93.05,93.05,9896.0,9.23
2012-08-21,95.85,95.85,92.55,93.45,92.9,13439.0,12.62
2012-08-17,94.8,95.9,93.3,95.15,93.9,9544.0,9.02
2012-08-16,91.3,94.8,91.0,93.35,93.6,13027.0,12.2
2012-08-14,94.0,94.0,89.1,91.4,91.1,35697.0,32.69
2012-08-13,96.7,96.7,93.5,95.0,94.95,3792.0,3.58
2012-08-10,96.05,96.05,93.0,94.65,93.5,12078.0,11.35
2012-08-09,94.5,97.55,93.3,96.35,96.05,9667.0,9.2
2012-08-08,95.0,99.9,94.95,96.0,95.55,40865.0,39.94
2012-08-07,91.55,95.8,91.55,94.6,94.05,9088.0,8.49
2012-08-06,94.0,95.0,91.2,91.95,91.85,14791.0,13.72
2012-08-03,93.0,94.0,92.05,93.0,92.85,5950.0,5.54
2012-08-02,94.95,94.95,92.55,93.2,93.05,816.0,0.76
2012-08-01,93.65,93.95,92.7,92.7,92.8,3772.0,3.51
2012-07-31,95.95,95.95,92.0,92.75,92.45,7904.0,7.34
2012-07-30,92.05,93.45,91.05,92.4,92.3,3090.0,2.84
2012-07-27,94.05,95.0,92.0,92.35,92.05,6014.0,5.61
2012-07-26,96.0,96.35,92.95,93.0,93.15,8196.0,7.72
2012-07-25,95.95,96.8,94.5,95.5,95.15,2551.0,2.43
